file_name,relative_path,source_collection,file_size_bytes,file_size_mib,modified_time,sha256,possible_year_from_filename,possible_title_from_filename
EN010_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,docs/literature/pdfs/package_2000_2026/EN010_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,package_2000_2026,1926720,1.837,2026-07-07T14:48:41,a21fd900712d96465db9cbdc3815cdbd16a77ed8079d60179def91eb2467f6fc,,EN010 Extraction of Rocky Desertification Information in the Karst
EN013_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf,docs/literature/pdfs/package_2000_2026/EN013_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf,package_2000_2026,14152695,13.497,2026-07-07T14:48:43,95336f3356b36f7900528cce40c645513a31d924175e4bb9c3599f6abb826a78,,EN013 Spatiotemporal Evolution and Driving Factors of Karst Rocky
EN014_Dynamic_evolution_of_rocky_desertification_and_vegetation_re.pdf,docs/literature/pdfs/package_2000_2026/EN014_Dynamic_evolution_of_rocky_desertification_and_vegetation_re.pdf,package_2000_2026,1365521,1.302,2026-07-07T14:48:45,944b197bc109c996fa9fc6d4ebb077b8bb0c600c6abbc4159db96395dc089819,,EN014 Dynamic evolution of rocky desertification and vegetation re
EN015_KRD_GEE.pdf,docs/literature/pdfs/package_2000_2026/EN015_KRD_GEE.pdf,package_2000_2026,6323052,6.030,2026-07-07T14:52:48,fd34f04fa4ca4a5f56866cf7a72471402df8842db92eff85f96a47d1476ac7db,,EN015 KRD GEE
EN016_Classification_of_rocky_desertification_degrees_and_analysis.pdf,docs/literature/pdfs/package_2000_2026/EN016_Classification_of_rocky_desertification_degrees_and_analysis.pdf,package_2000_2026,6765982,6.453,2026-07-07T14:48:47,7061d41f234761352bfd6ab9ba7dc3f090ae45cbebadd35dac167657c5063a71,,EN016 Classification of rocky desertification degrees and analysis
EN017_KRD_Remote_Sensing_Review.pdf,docs/literature/pdfs/package_2000_2026/EN017_KRD_Remote_Sensing_Review.pdf,package_2000_2026,4618735,4.405,2026-07-07T14:52:10,deb83cdc978bda4b02123bf365bcbdf8c01908f6533141e6091cbbe99b26f4a3,,EN017 KRD Remote Sensing Review
EN018_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,docs/literature/pdfs/package_2000_2026/EN018_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,package_2000_2026,25235475,24.066,2026-07-07T14:48:51,e5bf63dcbc7523203fdcc1c66c08f4feb12f6276a03c4c867c1c96293700164e,,EN018 Spatiotemporal Evolution Analysis and Future Scenario Predic
EN019_Information_Extraction_and_Prediction_of_Rocky_Desertificati.pdf,docs/literature/pdfs/package_2000_2026/EN019_Information_Extraction_and_Prediction_of_Rocky_Desertificati.pdf,package_2000_2026,4299872,4.101,2026-07-07T14:48:54,a8c2ac19810950f876037d67d252bf7edd09c4fd5ee9b58a097312332d923001,,EN019 Information Extraction and Prediction of Rocky Desertificati
EN025_KRSEI.pdf,docs/literature/pdfs/package_2000_2026/EN025_KRSEI.pdf,package_2000_2026,4361175,4.159,2026-07-07T14:52:51,5a11cf68baabf2b5747a550c1347ad371dcc307c95a8573f8aae78a83471f73b,,EN025 KRSEI
ssrn-4685103.pdf,docs/literature/pdfs/package_2000_2026/ssrn-4685103.pdf,package_2000_2026,5604996,5.345,2026-07-07T14:59:00,82c3ce558caa503f59ea7f0f03ef7c0d8d38540a29e09f73cd3025f0dd7c4a7f,,ssrn 4685103
