duplicate_group_id,duplicate_index,duplicate_count,file_name,relative_path,source_collection,file_size_bytes,file_size_mib,modified_time,sha256,possible_year_from_filename,possible_title_from_filename
95336f3356b36f79,2,2,2025_RemoteSens_17_2294_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf,docs/literature/pdfs/remote_sensing_only/2025_RemoteSens_17_2294_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf,remote_sensing_only,14152695,13.497,2026-07-07T13:35:11,95336f3356b36f7900528cce40c645513a31d924175e4bb9c3599f6abb826a78,2025,2025 RemoteSens 17 2294 Spatiotemporal Evolution and Driving Factors of Karst Rocky
9bd8b9d5e158b0a6,1,2,EN003_Machine_learning_algorithm_for_estimating_karst_rocky_desert.pdf,docs/literature/pdfs/package_2000_2026/EN003_Machine_learning_algorithm_for_estimating_karst_rocky_desert.pdf,package_2000_2026,13013764,12.411,2026-07-07T14:48:27,9bd8b9d5e158b0a65da39d6f5203291343f25f549c63eede806e7704c44cb11f,,EN003 Machine learning algorithm for estimating karst rocky desert
9bd8b9d5e158b0a6,2,2,EN05_Machine_learning_algorithm_for_estimating_karst_rocky_desertification_in_a_peak-cluster_de.pdf,docs/literature/pdfs/package_2021_2026/EN05_Machine_learning_algorithm_for_estimating_karst_rocky_desertification_in_a_peak-cluster_de.pdf,package_2021_2026,13013764,12.411,2026-07-07T13:52:28,9bd8b9d5e158b0a65da39d6f5203291343f25f549c63eede806e7704c44cb11f,,EN05 Machine learning algorithm for estimating karst rocky desertification in a peak cluster de
9c2ddd014243622f,1,3,EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf,docs/literature/pdfs/package_2000_2026/EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf,package_2000_2026,5877176,5.605,2026-07-07T14:48:20,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,,EN001 Extracting Information on Rocky Desertification from Satelli
9c2ddd014243622f,2,3,EN01_Extracting_Information_on_Rocky_Desertification_from_Satellite_Images_A_Comparative_Study.pdf,docs/literature/pdfs/package_2021_2026/EN01_Extracting_Information_on_Rocky_Desertification_from_Satellite_Images_A_Comparative_Study.pdf,package_2021_2026,5877176,5.605,2026-07-07T13:52:19,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,,EN01 Extracting Information on Rocky Desertification from Satellite Images A Comparative Study
9c2ddd014243622f,3,3,2021_RemoteSens_13_2497_Pu_Extracting_Information_Rocky_Desertification.pdf,docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2497_Pu_Extracting_Information_Rocky_Desertification.pdf,remote_sensing_only,5877176,5.605,2026-07-07T11:59:43,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,2021,2021 RemoteSens 13 2497 Pu Extracting Information Rocky Desertification
a21fd900712d9646,1,2,EN010_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,docs/literature/pdfs/package_2000_2026/EN010_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,package_2000_2026,1926720,1.837,2026-07-07T14:48:41,a21fd900712d96465db9cbdc3815cdbd16a77ed8079d60179def91eb2467f6fc,,EN010 Extraction of Rocky Desertification Information in the Karst
a21fd900712d9646,2,2,2023_RemoteSens_15_3056_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,docs/literature/pdfs/remote_sensing_only/2023_RemoteSens_15_3056_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,remote_sensing_only,1926720,1.837,2026-07-07T13:35:06,a21fd900712d96465db9cbdc3815cdbd16a77ed8079d60179def91eb2467f6fc,2023,2023 RemoteSens 15 3056 Extraction of Rocky Desertification Information in the Karst
a694a3d72eef12ba,1,2,EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf,docs/literature/pdfs/package_2021_2026/EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf,package_2021_2026,15124277,14.424,2026-07-07T13:52:21,a694a3d72eef12ba5ca3f4a31823394d65247c8c30193a8a191c9383fcab205a,,EN02 Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Se
a694a3d72eef12ba,2,2,2021_RemoteSens_13_2935_Optimization_of_Rocky_Desertification_Classification_Model_B.pdf,docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2935_Optimization_of_Rocky_Desertification_Classification_Model_B.pdf,remote_sensing_only,15124277,14.424,2026-07-07T13:34:58,a694a3d72eef12ba5ca3f4a31823394d65247c8c30193a8a191c9383fcab205a,2021,2021 RemoteSens 13 2935 Optimization of Rocky Desertification Classification Model B
c7b343af86ddb104,1,2,EN005_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,docs/literature/pdfs/package_2000_2026/EN005_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,package_2000_2026,21052264,20.077,2026-07-07T14:48:35,c7b343af86ddb10472183d14bddde33e03128d2b8147f5128aa417d1447ca912,,EN005 Analysis of Landsat 8 OLI Imagery for Estimating Exposed Bed
c7b343af86ddb104,2,2,2018_RemoteSens_10_1321_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,docs/literature/pdfs/remote_sensing_only/2018_RemoteSens_10_1321_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,remote_sensing_only,21052264,20.077,2026-07-07T13:35:14,c7b343af86ddb10472183d14bddde33e03128d2b8147f5128aa417d1447ca912,2018,2018 RemoteSens 10 1321 Analysis of Landsat 8 OLI Imagery for Estimating Exposed Bed
e5bf63dcbc752320,1,3,EN018_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,docs/literature/pdfs/package_2000_2026/EN018_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,package_2000_2026,25235475,24.066,2026-07-07T14:48:51,e5bf63dcbc7523203fdcc1c66c08f4feb12f6276a03c4c867c1c96293700164e,,EN018 Spatiotemporal Evolution Analysis and Future Scenario Predic
e5bf63dcbc752320,2,3,EN03_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Prediction_of_Rocky_Desertification_.pdf,docs/literature/pdfs/package_2021_2026/EN03_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Prediction_of_Rocky_Desertification_.pdf,package_2021_2026,25235475,24.066,2026-07-07T13:52:24,e5bf63dcbc7523203fdcc1c66c08f4feb12f6276a03c4c867c1c96293700164e,,EN03 Spatiotemporal Evolution Analysis and Future Scenario Prediction of Rocky Desertification
e5bf63dcbc752320,3,3,2022_RemoteSens_14_292_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,docs/literature/pdfs/remote_sensing_only/2022_RemoteSens_14_292_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,remote_sensing_only,25235475,24.066,2026-07-07T13:35:00,e5bf63dcbc7523203fdcc1c66c08f4feb12f6276a03c4c867c1c96293700164e,2022,2022 RemoteSens 14 292 Spatiotemporal Evolution Analysis and Future Scenario Predic
fd34f04fa4ca4a5f,1,2,EN015_KRD_GEE.pdf,docs/literature/pdfs/package_2000_2026/EN015_KRD_GEE.pdf,package_2000_2026,6323052,6.030,2026-07-07T14:52:48,fd34f04fa4ca4a5f56866cf7a72471402df8842db92eff85f96a47d1476ac7db,,EN015 KRD GEE
fd34f04fa4ca4a5f,2,2,EN13_Spatiotemporal_evolution_of_karst_rocky_desertification_and_its_driving_factors_in_southwe.pdf,docs/literature/pdfs/package_2021_2026/EN13_Spatiotemporal_evolution_of_karst_rocky_desertification_and_its_driving_factors_in_southwe.pdf,package_2021_2026,6323052,6.030,2026-07-07T13:52:50,fd34f04fa4ca4a5f56866cf7a72471402df8842db92eff85f96a47d1476ac7db,,EN13 Spatiotemporal evolution of karst rocky desertification and its driving factors in southwe
ff8ae8e9ea3e5710,1,2,EN002_Extraction_of_rocky_desertification_information_in_karst_are.pdf,docs/literature/pdfs/package_2000_2026/EN002_Extraction_of_rocky_desertification_information_in_karst_are.pdf,package_2000_2026,9233448,8.806,2026-07-07T14:48:21,ff8ae8e9ea3e571026bcbaef938c2aa45dc05a172ac25f4ac8f9019f1754d7c5,,EN002 Extraction of rocky desertification information in karst are
ff8ae8e9ea3e5710,2,2,EN04_Extraction_of_rocky_desertification_information_in_karst_area_by_using_different_multispec.pdf,docs/literature/pdfs/package_2021_2026/EN04_Extraction_of_rocky_desertification_information_in_karst_area_by_using_different_multispec.pdf,package_2021_2026,9233448,8.806,2026-07-07T13:49:52,ff8ae8e9ea3e571026bcbaef938c2aa45dc05a172ac25f4ac8f9019f1754d7c5,,EN04 Extraction of rocky desertification information in karst area by using different multispec
